2017-03-15T13:38:19.179
2017-03-15T13:40:58.739
2017-03-15T13:41:46.661
2017-03-15T13:44:26.054
2017-03-15T13:44:45.046
2017-03-15T13:45:36.963
2017-03-15T13:46:20.637
2017-03-15T13:46:48.146
2017-03-15T13:48:35.318
2017-03-15T14:09:05.332
2017-03-15T14:09:52.044
2017-03-15T14:12:12.670
2017-03-15T14:15:23.951

Event{id=97, message='Some info for user John Smith', date=Mar 15, 2017 2:20:44 PM}
Event{id=96, message='Some info for user 2', date=Mar 15, 2017 2:20:44 PM}
Event{id=78, message='Some info for user John Smith', date=Mar 15, 2017 2:20:52 PM}
Event{id=77, message='Some info for user 2', date=Mar 15, 2017 2:20:52 PM}
Event{id=48, message='Some info for user John Smith', date=Mar 15, 2017 2:22:03 PM}
Event{id=26, message='Some info for user 2', date=Mar 15, 2017 2:22:03 PM}
Event{id=47, message='Some info for user John Smith', date=Mar 15, 2017 2:32:25 PM}
Event{id=30, message='Some info for user 2', date=Mar 15, 2017 2:32:25 PM}
Event{id=20, message='Some info for user John Smith', date=Mar 15, 2017 2:45:03 PM}
Event{id=82, message='Some info for user 2', date=Mar 15, 2017 2:45:03 PM}
Event{id=65, message='Some info for user John Smith', date=Mar 15, 2017 4:11:26 PM}
Event{id=10, message='Some info for user 4', date=Mar 15, 2017 4:11:26 PM}
Event{id=53, message='Some info for user 5', date=Mar 15, 2017 4:11:26 PM}
Event{id=50, message='Some info for user John Smith', date=Mar 15, 2017 5:17:25 PM}
Event{id=65, message='Some info for user 4', date=Mar 15, 2017 5:17:25 PM}
Event{id=16, message='Some info for user 5', date=Mar 15, 2017 5:17:25 PM}
Event{id=24, message='Some info for user John Smith', date=Mar 15, 2017 5:17:44 PM}
Event{id=55, message='Some info for user 4', date=Mar 15, 2017 5:17:44 PM}
Event{id=62, message='Some info for user 5', date=Mar 15, 2017 5:17:44 PM}
Event{id=58, message='Some info for user John Smith', date=Mar 15, 2017 5:19:07 PM}
Event{id=5, message='Some info for user 4', date=Mar 15, 2017 5:19:07 PM}
Event{id=46, message='Some info for user 5', date=Mar 15, 2017 5:19:07 PM}
Event{id=66, message='Some info for user John Smith', date=Mar 15, 2017 5:23:03 PM}
Event{id=11, message='Some info for user 4', date=Mar 15, 2017 5:23:03 PM}
Event{id=94, message='Some info for user 5', date=Mar 15, 2017 5:23:03 PM}
Event{id=57, message='Some info for user John Smith', date=Mar 15, 2017 5:27:39 PM}
Event{id=95, message='Some info for user 4', date=Mar 15, 2017 5:27:39 PM}
Event{id=0, message='Some info for user 5', date=Mar 15, 2017 5:27:39 PM}
Event{id=82, message='Some info for user John Smith', date=Mar 15, 2017 5:30:10 PM}
Event{id=29, message='Some info for user 4', date=Mar 15, 2017 5:30:10 PM}
Event{id=96, message='Some info for user 5', date=Mar 15, 2017 5:30:10 PM}
Event{id=33, message='Some info for user John Smith', date=Mar 15, 2017 5:34:51 PM}
Event{id=59, message='Some info for user 4', date=Mar 15, 2017 5:34:51 PM}
